Circle, white, A, black
Circle, black, A, blue
Circle, black, B, blue
Circle, black, C, blue
Circle, black, D, blue
Circle, black, E, blue
Circle, black, F, blue
Circle, black, G, blue
Circle, black, H, blue
Circle, black, I, blue
Circle, black, J, blue
Circle, black, K, blue
Circle, black, L, blue
Circle, black, M, blue
Circle, black, N, blue
Circle, black, O, blue
Circle, black, P, blue
Circle, black, Q, blue
Circle, black, R, blue
Circle, black, S, blue
Circle, black, T, blue
Circle, black, U, blue
Circle, black, V, blue
Circle, black, W, blue
Circle, black, X, blue
Circle, black, Y, blue
Circle, black, Z, blue
Circle, black, 0, blue
Circle, black, 1, blue
Circle, black, 2, blue
Circle, black, 3, blue
Circle, black, 4, blue
Circle, black, 5, blue
Circle, black, 6, blue
Circle, black, 7, blue
Circle, black, 8, blue
Circle, black, 9, blue
Circle, black, A, green
Circle, black, B, green
Circle, black, C, green
Circle, black, D, green
Circle, black, E, green
Circle, black, F, green
Circle, black, G, green
Circle, black, H, green
Circle, black, I, green
Circle, black, J, green
Circle, black, K, green
Circle, black, L, green
Circle, black, M, green
Circle, black, N, green
Circle, black, O, green
Circle, black, P, green
Circle, black, Q, green
Circle, black, R, green
Circle, black, S, green
Circle, black, T, green
Circle, black, U, green
Circle, black, V, green
Circle, black, W, green
Circle, black, X, green
Circle, black, Y, green
Circle, black, Z, green
Circle, black, 0, green
Circle, black, 1, green
Circle, black, 2, green
Circle, black, 3, green
Circle, black, 4, green
Circle, black, 5, green
Circle, black, 6, green
Circle, black, 7, green
Circle, black, 8, green
Circle, black, 9, green
Circle, black, A, purple
Circle, black, B, purple
Circle, black, C, purple
Circle, black, D, purple
Circle, black, E, purple
Circle, black, F, purple
Circle, black, G, purple
Circle, black, H, purple
Circle, black, I, purple
Circle, black, J, purple
Circle, black, K, purple
Circle, black, L, purple
Circle, black, M, purple
Circle, black, N, purple
Circle, black, O, purple
Circle, black, P, purple
Circle, black, Q, purple
Circle, black, R, purple
Circle, black, S, purple
Circle, black, T, purple
Circle, black, U, purple
Circle, black, V, purple
Circle, black, W, purple
Circle, black, X, purple
Circle, black, Y, purple
Circle, black, Z, purple
Circle, black, 0, purple
Circle, black, 1, purple
Circle, black, 2, purple
Circle, black, 3, purple
Circle, black, 4, purple
Circle, black, 5, purple
Circle, black, 6, purple
Circle, black, 7, purple
Circle, black, 8, purple
Circle, black, 9, purple
Circle, black, A, brown
Circle, black, B, brown
Circle, black, C, brown
Circle, black, D, brown
Circle, black, E, brown
Circle, black, F, brown
Circle, black, G, brown
Circle, black, H, brown
Circle, black, I, brown
Circle, black, J, brown
Circle, black, K, brown
Circle, black, L, brown
Circle, black, M, brown
Circle, black, N, brown
Circle, black, O, brown
Circle, black, P, brown
Circle, black, Q, brown
Circle, black, R, brown
Circle, black, S, brown
Circle, black, T, brown
Circle, black, U, brown
Circle, black, V, brown
Circle, black, W, brown
Circle, black, X, brown
Circle, black, Y, brown
Circle, black, Z, brown
Circle, black, 0, brown
Circle, black, 1, brown
Circle, black, 2, brown
Circle, black, 3, brown
Circle, black, 4, brown
Circle, black, 5, brown
Circle, black, 6, brown
Circle, black, 7, brown
Circle, black, 8, brown
Circle, black, 9, brown
Circle, black, A, orange
Circle, black, B, orange
Circle, black, C, orange
Circle, black, D, orange
Circle, black, E, orange
Circle, black, F, orange
Circle, black, G, orange
Circle, black, H, orange
Circle, black, I, orange
Circle, black, J, orange
Circle, black, K, orange
Circle, black, L, orange
Circle, black, M, orange
Circle, black, N, orange
Circle, black, O, orange
Circle, black, P, orange
Circle, black, Q, orange
Circle, black, R, orange
Circle, black, S, orange
Circle, black, T, orange
Circle, black, U, orange
Circle, black, V, orange
Circle, black, W, orange
Circle, black, X, orange
Circle, black, Y, orange
Circle, black, Z, orange
Circle, black, 0, orange
Circle, black, 1, orange
Circle, black, 2, orange
Circle, black, 3, orange
Circle, black, 4, orange
Circle, black, 5, orange
Circle, black, 6, orange
Circle, black, 7, orange
Circle, black, 8, orange
Circle, black, 9, orange
Circle, red, A, white
Circle, red, B, white
Circle, red, C, white
Circle, red, D, white
Circle, red, E, white
Circle, red, F, white
Circle, red, G, white
Circle, red, H, white
Circle, red, I, white
Circle, red, J, white
Circle, red, K, white
Circle, red, L, white
Circle, red, M, white
Circle, red, N, white
Circle, red, O, white
Circle, red, P, white
Circle, red, Q, white
Circle, red, R, white
Circle, red, S, white
Circle, red, T, white
Circle, red, U, white
Circle, red, V, white
Circle, red, W, white
Circle, red, X, white
Circle, red, Y, white
Circle, red, Z, white
Circle, red, 0, white
Circle, red, 1, white
Circle, red, 2, white
Circle, red, 3, white
Circle, red, 4, white
Circle, red, 5, white
Circle, red, 6, white
Circle, red, 7, white
Circle, red, 8, white
Circle, red, 9, white
Circle, red, A, black
Circle, red, B, black
Circle, red, C, black
Circle, red, D, black
Circle, red, E, black
Circle, red, F, black
Circle, red, G, black
Circle, red, H, black
Circle, red, I, black
Circle, red, J, black
Circle, red, K, black
Circle, red, L, black
Circle, red, M, black
Circle, red, N, black
Circle, red, O, black
Circle, red, P, black
Circle, red, Q, black
Circle, red, R, black
Circle, red, S, black
Circle, red, T, black
Circle, red, U, black
Circle, red, V, black
Circle, red, W, black
Circle, red, X, black
Circle, red, Y, black
Circle, red, Z, black
Circle, red, 0, black
Circle, red, 1, black
Circle, red, 2, black
Circle, red, 3, black
Circle, red, 4, black
Circle, red, 5, black
Circle, red, 6, black
Circle, red, 7, black
Circle, red, 8, black
Circle, red, 9, black
Circle, red, A, blue
Circle, red, B, blue
Circle, red, C, blue
Circle, red, D, blue
Circle, red, E, blue
Circle, red, F, blue
Circle, red, G, blue
Circle, red, H, blue
Circle, red, I, blue
Circle, red, J, blue
Circle, red, K, blue
Circle, red, L, blue
Circle, red, M, blue
Circle, red, N, blue
Circle, red, O, blue
Circle, red, P, blue
Circle, red, Q, blue
Circle, red, R, blue
Circle, red, S, blue
Circle, red, T, blue
Circle, red, U, blue
Circle, red, V, blue
Circle, red, W, blue
Circle, red, X, blue
Circle, red, Y, blue
Circle, red, Z, blue
Circle, red, 0, blue
Circle, red, 1, blue
Circle, red, 2, blue
Circle, red, 3, blue
Circle, red, 4, blue
Circle, red, 5, blue
Circle, red, 6, blue
Circle, red, 7, blue
Circle, red, 8, blue
Circle, red, 9, blue
Circle, red, A, green
Circle, red, B, green
Circle, red, C, green
Circle, red, D, green
Circle, red, E, green
Circle, red, F, green
Circle, red, G, green
Circle, red, H, green
Circle, red, I, green
Circle, red, J, green
Circle, red, K, green
Circle, red, L, green
Circle, red, M, green
Circle, red, N, green
Circle, red, O, green
Circle, red, P, green
Circle, red, Q, green
Circle, red, R, green
Circle, red, S, green
Circle, red, T, green
Circle, red, U, green
Circle, red, V, green
Circle, red, W, green
Circle, red, X, green
Circle, red, Y, green
Circle, red, Z, green
Circle, red, 0, green
Circle, red, 1, green
Circle, red, 2, green
Circle, red, 3, green
Circle, red, 4, green
Circle, red, 5, green
Circle, red, 6, green
Circle, red, 7, green
Circle, red, 8, green
Circle, red, 9, green
Circle, red, A, purple
Circle, red, B, purple
Circle, red, C, purple
Circle, red, D, purple
Circle, red, E, purple
Circle, red, F, purple
Circle, red, G, purple
Circle, red, H, purple
Circle, red, I, purple
Circle, red, J, purple
Circle, red, K, purple
Circle, red, L, purple
Circle, red, M, purple
Circle, red, N, purple
Circle, red, O, purple
Circle, red, P, purple
Circle, red, Q, purple
Circle, red, R, purple
Circle, red, S, purple
Circle, red, T, purple
Circle, red, U, purple
Circle, red, V, purple
Circle, red, W, purple
Circle, red, X, purple
Circle, red, Y, purple
Circle, red, Z, purple
Circle, red, 0, purple
Circle, red, 1, purple
Circle, red, 2, purple
Circle, red, 3, purple
Circle, red, 4, purple
Circle, red, 5, purple
Circle, red, 6, purple
Circle, red, 7, purple
Circle, red, 8, purple
Circle, red, 9, purple
Circle, red, A, brown
Circle, red, B, brown
Circle, red, C, brown
Circle, red, D, brown
Circle, red, E, brown
Circle, red, F, brown
Circle, red, G, brown
Circle, red, H, brown
Circle, red, I, brown
Circle, red, J, brown
Circle, red, K, brown
Circle, red, L, brown
Circle, red, M, brown
Circle, red, N, brown
Circle, red, O, brown
Circle, red, P, brown
Circle, red, Q, brown
Circle, red, R, brown
Circle, red, S, brown
Circle, red, T, brown
Circle, red, U, brown
Circle, red, V, brown
Circle, red, W, brown
Circle, red, X, brown
Circle, red, Y, brown
Circle, red, Z, brown
Circle, red, 0, brown
Circle, red, 1, brown
Circle, red, 2, brown
Circle, red, 3, brown
Circle, red, 4, brown
Circle, red, 5, brown
Circle, red, 6, brown
Circle, red, 7, brown
Circle, red, 8, brown
Circle, red, 9, brown
Circle, red, A, orange
Circle, red, B, orange
Circle, red, C, orange
Circle, red, D, orange
Circle, red, E, orange
Circle, red, F, orange
Circle, red, G, orange
Circle, red, H, orange
Circle, red, I, orange
Circle, red, J, orange
Circle, red, K, orange
Circle, red, L, orange
Circle, red, M, orange
Circle, red, N, orange
Circle, red, O, orange
Circle, red, P, orange
Circle, red, Q, orange
Circle, red, R, orange
Circle, red, S, orange
Circle, red, T, orange
Circle, red, U, orange
Circle, red, V, orange
Circle, red, W, orange
Circle, red, X, orange
Circle, red, Y, orange
Circle, red, Z, orange
Circle, red, 0, orange
Circle, red, 1, orange
Circle, red, 2, orange
Circle, red, 3, orange
Circle, red, 4, orange
Circle, red, 5, orange
Circle, red, 6, orange
Circle, red, 7, orange
Circle, red, 8, orange
Circle, red, 9, orange
Circle, blue, A, white
Circle, blue, B, white
Circle, blue, C, white
Circle, blue, D, white
Circle, blue, E, white
Circle, blue, F, white
Circle, blue, G, white
Circle, blue, H, white
Circle, blue, I, white
Circle, blue, J, white
Circle, blue, K, white
Circle, blue, L, white
Circle, blue, M, white
Circle, blue, N, white
Circle, blue, O, white
Circle, blue, P, white
Circle, blue, Q, white
Circle, blue, R, white
Circle, blue, S, white
Circle, blue, T, white
Circle, blue, U, white
Circle, blue, V, white
Circle, blue, W, white
Circle, blue, X, white
Circle, blue, Y, white
Circle, blue, Z, white
Circle, blue, 0, white
Circle, blue, 1, white
Circle, blue, 2, white
Circle, blue, 3, white
Circle, blue, 4, white
Circle, blue, 5, white
Circle, blue, 6, white
Circle, blue, 7, white
Circle, blue, 8, white
Circle, blue, 9, white
Circle, blue, A, black
Circle, blue, B, black
Circle, blue, C, black
Circle, blue, D, black
Circle, blue, E, black
Circle, blue, F, black
Circle, blue, G, black
Circle, blue, H, black
Circle, blue, I, black
Circle, blue, J, black
Circle, blue, K, black
Circle, blue, L, black
Circle, blue, M, black
Circle, blue, N, black
Circle, blue, O, black
Circle, blue, P, black
Circle, blue, Q, black
Circle, blue, R, black
Circle, blue, S, black
Circle, blue, T, black
Circle, blue, U, black
Circle, blue, V, black
Circle, blue, W, black
Circle, blue, X, black
Circle, blue, Y, black
Circle, blue, Z, black
Circle, blue, 0, black
Circle, blue, 1, black
Circle, blue, 2, black
Circle, blue, 3, black
Circle, blue, 4, black
Circle, blue, 5, black
Circle, blue, 6, black
Circle, blue, 7, black
Circle, blue, 8, black
Circle, blue, 9, black
Circle, blue, A, red
Circle, blue, B, red
Circle, blue, C, red
Circle, blue, D, red
Circle, blue, E, red
Circle, blue, F, red
Circle, blue, G, red
Circle, blue, H, red
Circle, blue, I, red
Circle, blue, J, red
Circle, blue, K, red
Circle, blue, L, red
Circle, blue, M, red
Circle, blue, N, red
Circle, blue, O, red
Circle, blue, P, red
Circle, blue, Q, red
Circle, blue, R, red
Circle, blue, S, red
Circle, blue, T, red
Circle, blue, U, red
Circle, blue, V, red
Circle, blue, W, red
Circle, blue, X, red
Circle, blue, Y, red
Circle, blue, Z, red
Circle, blue, 0, red
Circle, blue, 1, red
Circle, blue, 2, red
Circle, blue, 3, red
Circle, blue, 4, red
Circle, blue, 5, red
Circle, blue, 6, red
Circle, blue, 7, red
Circle, blue, 8, red
Circle, blue, 9, red
Circle, blue, A, green
Circle, blue, B, green
Circle, blue, C, green
Circle, blue, D, green
Circle, blue, E, green
Circle, blue, F, green
Circle, blue, G, green
Circle, blue, H, green
Circle, blue, I, green
Circle, blue, J, green
Circle, blue, K, green
Circle, blue, L, green
Circle, blue, M, green
Circle, blue, N, green
Circle, blue, O, green
Circle, blue, P, green
Circle, blue, Q, green
Circle, blue, R, green
Circle, blue, S, green
Circle, blue, T, green
Circle, blue, U, green
Circle, blue, V, green
Circle, blue, W, green
Circle, blue, X, green
Circle, blue, Y, green
Circle, blue, Z, green
Circle, blue, 0, green
Circle, blue, 1, green
Circle, blue, 2, green
Circle, blue, 3, green
Circle, blue, 4, green
Circle, blue, 5, green
Circle, blue, 6, green
Circle, blue, 7, green
Circle, blue, 8, green
Circle, blue, 9, green
Circle, blue, A, purple
Circle, blue, B, purple
Circle, blue, C, purple
Circle, blue, D, purple
Circle, blue, E, purple
Circle, blue, F, purple
Circle, blue, G, purple
Circle, blue, H, purple
Circle, blue, I, purple
Circle, blue, J, purple
Circle, blue, K, purple
Circle, blue, L, purple
Circle, blue, M, purple
Circle, blue, N, purple
Circle, blue, O, purple
Circle, blue, P, purple
Circle, blue, Q, purple
Circle, blue, R, purple
Circle, blue, S, purple
Circle, blue, T, purple
Circle, blue, U, purple
Circle, blue, V, purple
Circle, blue, W, purple
Circle, blue, X, purple
Circle, blue, Y, purple
Circle, blue, Z, purple
Circle, blue, 0, purple
Circle, blue, 1, purple
Circle, blue, 2, purple
Circle, blue, 3, purple
Circle, blue, 4, purple
Circle, blue, 5, purple
Circle, blue, 6, purple
Circle, blue, 7, purple
Circle, blue, 8, purple
Circle, blue, 9, purple
Circle, blue, A, brown
Circle, blue, B, brown
Circle, blue, C, brown
Circle, blue, D, brown
Circle, blue, E, brown
Circle, blue, F, brown
Circle, blue, G, brown
Circle, blue, H, brown
Circle, blue, I, brown
Circle, blue, J, brown
Circle, blue, K, brown
Circle, blue, L, brown
Circle, blue, M, brown
Circle, blue, N, brown
Circle, blue, O, brown
Circle, blue, P, brown
Circle, blue, Q, brown
Circle, blue, R, brown
Circle, blue, S, brown
Circle, blue, T, brown
Circle, blue, U, brown
Circle, blue, V, brown
Circle, blue, W, brown
Circle, blue, X, brown
Circle, blue, Y, brown
Circle, blue, Z, brown
Circle, blue, 0, brown
Circle, blue, 1, brown
Circle, blue, 2, brown
Circle, blue, 3, brown
Circle, blue, 4, brown
Circle, blue, 5, brown
Circle, blue, 6, brown
Circle, blue, 7, brown
Circle, blue, 8, brown
Circle, blue, 9, brown
Circle, blue, A, orange
Circle, blue, B, orange
Circle, blue, C, orange
Circle, blue, D, orange
Circle, blue, E, orange
Circle, blue, F, orange
Circle, blue, G, orange
Circle, blue, H, orange
Circle, blue, I, orange
Circle, blue, J, orange
Circle, blue, K, orange
Circle, blue, L, orange
Circle, blue, M, orange
Circle, blue, N, orange
Circle, blue, O, orange
Circle, blue, P, orange
Circle, blue, Q, orange
Circle, blue, R, orange
Circle, blue, S, orange
Circle, blue, T, orange
Circle, blue, U, orange
Circle, blue, V, orange
Circle, blue, W, orange
Circle, blue, X, orange
Circle, blue, Y, orange
Circle, blue, Z, orange
Circle, blue, 0, orange
Circle, blue, 1, orange
Circle, blue, 2, orange
Circle, blue, 3, orange
Circle, blue, 4, orange
Circle, blue, 5, orange
Circle, blue, 6, orange
Circle, blue, 7, orange
Circle, blue, 8, orange
Circle, blue, 9, orange
Circle, green, A, white
Circle, green, B, white
Circle, green, C, white
Circle, green, D, white
Circle, green, E, white
Circle, green, F, white
Circle, green, G, white
Circle, green, H, white
Circle, green, I, white
Circle, green, J, white
Circle, green, K, white
Circle, green, L, white
Circle, green, M, white
Circle, green, N, white
Circle, green, O, white
Circle, green, P, white
Circle, green, Q, white
Circle, green, R, white
Circle, green, S, white
Circle, green, T, white
Circle, green, U, white
Circle, green, V, white
Circle, green, W, white
Circle, green, X, white
Circle, green, Y, white
Circle, green, Z, white
Circle, green, 0, white
Circle, green, 1, white
Circle, green, 2, white
Circle, green, 3, white
Circle, green, 4, white
Circle, green, 5, white
Circle, green, 6, white
Circle, green, 7, white
Circle, green, 8, white
Circle, green, 9, white
Circle, green, A, black
Circle, green, B, black
Circle, green, C, black
Circle, green, D, black
Circle, green, E, black
Circle, green, F, black
Circle, green, G, black
Circle, green, H, black
Circle, green, I, black
Circle, green, J, black
Circle, green, K, black
Circle, green, L, black
Circle, green, M, black
Circle, green, N, black
Circle, green, O, black
Circle, green, P, black
Circle, green, Q, black
Circle, green, R, black
Circle, green, S, black
Circle, green, T, black
Circle, green, U, black
Circle, green, V, black
Circle, green, W, black
Circle, green, X, black
Circle, green, Y, black
Circle, green, Z, black
Circle, green, 0, black
Circle, green, 1, black
Circle, green, 2, black
Circle, green, 3, black
Circle, green, 4, black
Circle, green, 5, black
Circle, green, 6, black
Circle, green, 7, black
Circle, green, 8, black
Circle, green, 9, black
Circle, green, A, red
Circle, green, B, red
Circle, green, C, red
Circle, green, D, red
Circle, green, E, red
Circle, green, F, red
Circle, green, G, red
Circle, green, H, red
Circle, green, I, red
Circle, green, J, red
Circle, green, K, red
Circle, green, L, red
Circle, green, M, red
Circle, green, N, red
Circle, green, O, red
Circle, green, P, red
Circle, green, Q, red
Circle, green, R, red
Circle, green, S, red
Circle, green, T, red
Circle, green, U, red
Circle, green, V, red
Circle, green, W, red
Circle, green, X, red
Circle, green, Y, red
Circle, green, Z, red
Circle, green, 0, red
Circle, green, 1, red
Circle, green, 2, red
Circle, green, 3, red
Circle, green, 4, red
Circle, green, 5, red
Circle, green, 6, red
Circle, green, 7, red
Circle, green, 8, red
Circle, green, 9, red
Circle, green, A, blue
Circle, green, B, blue
Circle, green, C, blue
Circle, green, D, blue
Circle, green, E, blue
Circle, green, F, blue
Circle, green, G, blue
Circle, green, H, blue
Circle, green, I, blue
Circle, green, J, blue
Circle, green, K, blue
Circle, green, L, blue
Circle, green, M, blue
Circle, green, N, blue
Circle, green, O, blue
Circle, green, P, blue
Circle, green, Q, blue
Circle, green, R, blue
Circle, green, S, blue
Circle, green, T, blue
Circle, green, U, blue
Circle, green, V, blue
Circle, green, W, blue
Circle, green, X, blue
Circle, green, Y, blue
Circle, green, Z, blue
Circle, green, 0, blue
Circle, green, 1, blue
Circle, green, 2, blue
Circle, green, 3, blue
Circle, green, 4, blue
Circle, green, 5, blue
Circle, green, 6, blue
Circle, green, 7, blue
Circle, green, 8, blue
Circle, green, 9, blue
Circle, green, A, purple
Circle, green, B, purple
Circle, green, C, purple
Circle, green, D, purple
Circle, green, E, purple
Circle, green, F, purple
Circle, green, G, purple
Circle, green, H, purple
Circle, green, I, purple
Circle, green, J, purple
Circle, green, K, purple
Circle, green, L, purple
Circle, green, M, purple
Circle, green, N, purple
Circle, green, O, purple
Circle, green, P, purple
Circle, green, Q, purple
Circle, green, R, purple
Circle, green, S, purple
Circle, green, T, purple
Circle, green, U, purple
Circle, green, V, purple
Circle, green, W, purple
Circle, green, X, purple
Circle, green, Y, purple
Circle, green, Z, purple
Circle, green, 0, purple
Circle, green, 1, purple
Circle, green, 2, purple
Circle, green, 3, purple
Circle, green, 4, purple
Circle, green, 5, purple
Circle, green, 6, purple
Circle, green, 7, purple
Circle, green, 8, purple
Circle, green, 9, purple
Circle, green, A, brown
Circle, green, B, brown
Circle, green, C, brown
Circle, green, D, brown
Circle, green, E, brown
Circle, green, F, brown
Circle, green, G, brown
Circle, green, H, brown
Circle, green, I, brown
Circle, green, J, brown
Circle, green, K, brown
Circle, green, L, brown
Circle, green, M, brown
Circle, green, N, brown
Circle, green, O, brown
Circle, green, P, brown
Circle, green, Q, brown
Circle, green, R, brown
Circle, green, S, brown
Circle, green, T, brown
Circle, green, U, brown
Circle, green, V, brown
Circle, green, W, brown
Circle, green, X, brown
Circle, green, Y, brown
Circle, green, Z, brown
Circle, green, 0, brown
Circle, green, 1, brown
Circle, green, 2, brown
Circle, green, 3, brown
Circle, green, 4, brown
Circle, green, 5, brown
Circle, green, 6, brown
Circle, green, 7, brown
Circle, green, 8, brown
Circle, green, 9, brown
Circle, green, A, orange
Circle, green, B, orange
Circle, green, C, orange
Circle, green, D, orange
Circle, green, E, orange
Circle, green, F, orange
Circle, green, G, orange
Circle, green, H, orange
Circle, green, I, orange
Circle, green, J, orange
Circle, green, K, orange
Circle, green, L, orange
Circle, green, M, orange
Circle, green, N, orange
Circle, green, O, orange
Circle, green, P, orange
Circle, green, Q, orange
Circle, green, R, orange
Circle, green, S, orange
Circle, green, T, orange
Circle, green, U, orange
Circle, green, V, orange
Circle, green, W, orange
Circle, green, X, orange
Circle, green, Y, orange
Circle, green, Z, orange
Circle, green, 0, orange
Circle, green, 1, orange
Circle, green, 2, orange
Circle, green, 3, orange
Circle, green, 4, orange
Circle, green, 5, orange
Circle, green, 6, orange
Circle, green, 7, orange
Circle, green, 8, orange
